#anbul-dated-5-15-u
#nr_of_threads	LLC-miss-%	error
1		2.62		0.81
2		9.76		0.64
3		21.4		0.22
4		31.99		0.08
5		39.91		0.09
6		48.2		0.1
#anbul-part-10-15-s
#nr_of_threads	LLC-miss-%	error
1		17.35		0.45
2		30.46		0.15
3		38.69		0.1
4		45.03		0.07
5		48.34		0.11
6		49.13		0.03
#fuhs-aprove-16
#nr_of_threads	LLC-miss-%	error
1		6.38		0.4
2		11.05		0.54
3		17.28		0.22
4		23.49		0.17
5		29.79		0.03
6		34.73		0.13
#goldb-heqc-alu4mul
#nr_of_threads	LLC-miss-%	error
1		2.49		1.19
2		10.35		0.45
3		21.13		0.19
4		32.76		0.13
5		38.86		0.1
6		45.9		0.02
#goldb-heqc-i8mul
#nr_of_threads	LLC-miss-%	error
1		3.16		1.18
2		13.71		0.46
3		23.29		0.26
4		32.6		0.15
5		37.64		0.17
6		43.34		0.1
#grieu-vmpc-s05-27r
#nr_of_threads	LLC-miss-%	error
1		2.72		0.5
2		4.22		1.33
3		8.2		0.64
4		12.04		0.35
5		14.23		0.14
6		17.7		0.1
#ibm-2002-20r-k75
#nr_of_threads	LLC-miss-%	error
1		15.51		0.4
2		24.37		0.12
3		32.73		0.06
4		39.45		0.08
5		44.06		0.05
6		49.09		0.02
#ibm-2002-24r3-k100
#nr_of_threads	LLC-miss-%	error
1		12.05		0.72
2		23.72		0.14
3		31.32		0.13
4		38.75		0.16
5		44.56		0.16
6		49.7		0.24
#ibm-2002-31_1r3-k30
#nr_of_threads	LLC-miss-%	error
1		7.21		0.6
2		16.02		0.39
3		26.06		0.15
4		35.44		0.08
5		41.39		0.04
6		47.34		0.04
#ibm-2004-23-k80
#nr_of_threads	LLC-miss-%	error
1		12.73		0.23
2		19.54		0.19
3		26.33		0.11
4		32.15		0.11
5		37.07		0.04
6		41.09		0.04
#manol-pipe-c7idw
#nr_of_threads	LLC-miss-%	error
1		13.49		0.46
2		29.9		0.16
3		38.34		0.18
4		45.23		0.09
5		48.27		0.09
6		51.93		0.03
#manol-pipe-g10bid_i
#nr_of_threads	LLC-miss-%	error
1		24.13		0.13
2		41.92		0.18
3		49.11		0.03
4		55.19		0.02
5		58.97		0.04
6		62.39		0.04
#mizh-md5-47-4
#nr_of_threads	LLC-miss-%	error
1		12.3		0.27
2		23.34		0.19
3		31.56		0.09
4		38.91		0.06
5		43.23		0.05
6		47.81		0.03
#mizh-sha0-36-4
#nr_of_threads	LLC-miss-%	error
1		12.09		0.55
2		21.78		0.19
3		30.16		0.1
4		37.29		0.06
5		42.24		0.07
6		46.62		0.04
#narai-vpn-10s
#nr_of_threads	LLC-miss-%	error
1		52.29		0.14
2		61.92		0.4
3		66.4		0.43
4		70.1		0.24
5		73.34		0.37
6		75.46		0.21
#post-c32s-gcdm16-22
#nr_of_threads	LLC-miss-%	error
1		8.43		0.81
2		20.58		0.11
3		29.99		0.17
4		40.42		0.13
5		44.08		0.11
6		49.11		0.06
#schup-l2s-motst-2-k315
#nr_of_threads	LLC-miss-%	error
1		21.1		0.23
2		31.63		0.07
3		31.4		0.06
4		40.41		0.04
5		44.12		0.09
6		43.3		0.05
#simon-s02b-r4b1k1.2
#nr_of_threads	LLC-miss-%	error
1		4.02		2.23
2		12.03		0.63
3		24.55		0.69
4		35.32		0.08
5		40.65		0.03
6		46.93		0.02
#simon-s02-f2clk-50
#nr_of_threads	LLC-miss-%	error
1		5.31		1.08
2		11.98		0.46
3		19.53		0.37
4		26.68		0.15
5		31.77		0.08
6		37.63		0.08
#velev-npe-1.0-9dlx-b71
#nr_of_threads	LLC-miss-%	error
1		15.98		0.1
2		17.03		0.27
3		26.69		0.21
4		26.22		0.09
5		15.41		0.1
6		17.24		0.09
