shared-binaries-same-search ; 
Threads ; manol-pipe-c10b ; manol-pipe-c6bid_i ; manol-pipe-c6nidw_i ; manol-pipe-c7idw ; manol-pipe-cha05-113 ; 
1 ; 3.51 ; 35.0 ; 35.0 ; 35.0 ; 2.39 ; 
2 ; 35.0 ; 31.0 ; 31.0 ; 31.0 ; 35.0 ; 
3 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 35.0 ; 
4 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 
5 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 
6 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 

shared-all ; 
Threads ; manol-pipe-c10b ; manol-pipe-c6bid_i ; manol-pipe-c6nidw_i ; manol-pipe-c7idw ; manol-pipe-cha05-113 ; 
1 ; 3.4 ; 35.0 ; 35.0 ; 35.0 ; 2.45 ; 
2 ; 33.0 ; 35.0 ; 35.0 ; 31.0 ; 33.0 ; 
3 ; 35.0 ; 31.0 ; 31.0 ; 31.0 ; 35.0 ; 
4 ; 35.0 ; 31.0 ; 31.0 ; 31.0 ; 35.0 ; 
5 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 35.0 ; 
6 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 

shared-none-same-search ; 
Threads ; manol-pipe-c10b ; manol-pipe-c6bid_i ; manol-pipe-c6nidw_i ; manol-pipe-c7idw ; manol-pipe-cha05-113 ; 
1 ; 2.62 ; 35.0 ; 35.0 ; 35.0 ; 1.84 ; 
2 ; 35.0 ; 31.0 ; 31.0 ; 31.0 ; 35.0 ; 
3 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 
4 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 
5 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 
6 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 31.0 ; 

