#nr_of_threads	LLC-miss%	error
#manol-pipe-c10b.cnf
1		2.62		2.35
2		15.73		0.64
3		27.25		0.13
4		36.39		0.17
5		43.25		0.07
6		48.76		0.04

#manol-pipe-c6bid_i.cnf.gz
1		11.8		0.32
2		27.21		0.14
3		37.46		0.11
4		44.8		0.06
5		50.26		0.03
6		54.7		0.03

#manol-pipe-c6nidw_i.cnf
1		13.17		0.19
2		28.97		0.11
3		39.28		0.08
4		46.46		0.04
5		52.12		0.08
6		56.34		0.04

#manol-pipe-c7idw.cnf.gz
1		13.67		0.55
2		30.07		0.07
3		38.74		0.1
4		44.59		0.06
5		49.02		0.04
6		52.65		0.07

#manol-pipe-cha05-113.cnf.gz
1		1.84		2.31
2		13.18		1.11
3		23.23		0.62
4		31.76		0.29
5		38.65		0.11
6		44.38		0.04
